year,province_code,subject_track,score,count,cumulative_count,rank_min,rank_max,source_id
2023,AH,history,508,401,19823,19423,19823,src_collected_ah_2023_score_segments
2023,AH,history,509,420,19422,19003,19422,src_collected_ah_2023_score_segments
2023,AH,history,510,400,19002,18603,19002,src_collected_ah_2023_score_segments
2023,AH,history,511,408,18602,18195,18602,src_collected_ah_2023_score_segments
2023,AH,history,512,380,18194,17815,18194,src_collected_ah_2023_score_segments
2023,AH,history,513,363,17814,17452,17814,src_collected_ah_2023_score_segments
2023,AH,history,514,371,17451,17081,17451,src_collected_ah_2023_score_segments
2023,AH,history,515,383,17080,16698,17080,src_collected_ah_2023_score_segments
2023,AH,history,516,355,16697,16343,16697,src_collected_ah_2023_score_segments
2023,AH,history,517,355,16342,15988,16342,src_collected_ah_2023_score_segments
2023,AH,history,518,355,15987,15633,15987,src_collected_ah_2023_score_segments
2023,AH,history,519,326,15632,15307,15632,src_collected_ah_2023_score_segments
2023,AH,history,520,322,15306,14985,15306,src_collected_ah_2023_score_segments
2023,AH,history,521,329,14984,14656,14984,src_collected_ah_2023_score_segments
2023,AH,history,522,339,14655,14317,14655,src_collected_ah_2023_score_segments
2023,AH,history,523,328,14316,13989,14316,src_collected_ah_2023_score_segments
2023,AH,history,524,328,13988,13661,13988,src_collected_ah_2023_score_segments
2023,AH,history,525,313,13660,13348,13660,src_collected_ah_2023_score_segments
2023,AH,history,526,291,13347,13057,13347,src_collected_ah_2023_score_segments
2023,AH,history,527,301,13056,12756,13056,src_collected_ah_2023_score_segments
2023,AH,history,528,310,12755,12446,12755,src_collected_ah_2023_score_segments
2023,AH,history,529,289,12445,12157,12445,src_collected_ah_2023_score_segments
2023,AH,history,530,293,12156,11864,12156,src_collected_ah_2023_score_segments
2023,AH,history,531,300,11863,11564,11863,src_collected_ah_2023_score_segments
2023,AH,history,532,281,11563,11283,11563,src_collected_ah_2023_score_segments
2023,AH,history,533,285,11282,10998,11282,src_collected_ah_2023_score_segments
2023,AH,history,534,252,10997,10746,10997,src_collected_ah_2023_score_segments
2023,AH,history,535,244,10745,10502,10745,src_collected_ah_2023_score_segments
2023,AH,history,536,276,10501,10226,10501,src_collected_ah_2023_score_segments
2023,AH,history,537,254,10225,9972,10225,src_collected_ah_2023_score_segments
2023,AH,history,538,244,9971,9728,9971,src_collected_ah_2023_score_segments
2023,AH,history,539,246,9727,9482,9727,src_collected_ah_2023_score_segments
2023,AH,history,540,254,9481,9228,9481,src_collected_ah_2023_score_segments
2023,AH,history,541,263,9227,8965,9227,src_collected_ah_2023_score_segments
2023,AH,history,542,216,8964,8749,8964,src_collected_ah_2023_score_segments
2023,AH,history,543,234,8748,8515,8748,src_collected_ah_2023_score_segments
2023,AH,history,544,254,8514,8261,8514,src_collected_ah_2023_score_segments
2023,AH,history,545,200,8260,8061,8260,src_collected_ah_2023_score_segments
2023,AH,history,546,215,8060,7846,8060,src_collected_ah_2023_score_segments
2023,AH,history,547,208,7845,7638,7845,src_collected_ah_2023_score_segments
2023,AH,history,548,217,7637,7421,7637,src_collected_ah_2023_score_segments
2023,AH,history,549,186,7420,7235,7420,src_collected_ah_2023_score_segments
2023,AH,history,550,200,7234,7035,7234,src_collected_ah_2023_score_segments
2023,AH,history,551,210,7034,6825,7034,src_collected_ah_2023_score_segments
2023,AH,history,552,205,6824,6620,6824,src_collected_ah_2023_score_segments
2023,AH,history,553,205,6619,6415,6619,src_collected_ah_2023_score_segments
2023,AH,history,554,176,6414,6239,6414,src_collected_ah_2023_score_segments
2023,AH,history,555,168,6238,6071,6238,src_collected_ah_2023_score_segments
2023,AH,history,556,154,6070,5917,6070,src_collected_ah_2023_score_segments
2023,AH,history,557,165,5916,5752,5916,src_collected_ah_2023_score_segments
2023,AH,history,558,157,5751,5595,5751,src_collected_ah_2023_score_segments
2023,AH,history,559,182,5594,5413,5594,src_collected_ah_2023_score_segments
2023,AH,history,560,148,5412,5265,5412,src_collected_ah_2023_score_segments
2023,AH,history,561,146,5264,5119,5264,src_collected_ah_2023_score_segments
2023,AH,history,562,150,5118,4969,5118,src_collected_ah_2023_score_segments
2023,AH,history,563,157,4968,4812,4968,src_collected_ah_2023_score_segments
2023,AH,history,564,147,4811,4665,4811,src_collected_ah_2023_score_segments
2023,AH,history,565,159,4664,4506,4664,src_collected_ah_2023_score_segments
2023,AH,history,566,144,4505,4362,4505,src_collected_ah_2023_score_segments
2023,AH,history,567,136,4361,4226,4361,src_collected_ah_2023_score_segments
2023,AH,history,568,125,4225,4101,4225,src_collected_ah_2023_score_segments
2023,AH,history,569,126,4100,3975,4100,src_collected_ah_2023_score_segments
2023,AH,history,570,133,3974,3842,3974,src_collected_ah_2023_score_segments
2023,AH,history,571,123,3841,3719,3841,src_collected_ah_2023_score_segments
