year,province_code,batch_code,subject_track,college_code,group_code,college_name,subject_requirement,group_note,source_id
2024,AH,ordinary_undergraduate,history,1064,001,北京物资学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2025,AH,ordinary_undergraduate,physics,1003,001,安康学院,化学,"001专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1005,001,安阳工学院,化学,"001专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1005,002,安阳工学院,化学,"002专业组（化学）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1006,001,安阳师范学院,化学,"001专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,001,鞍山师范学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,002,鞍山师范学院,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,003,鞍山师范学院,不限,"003专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,004,鞍山师范学院,不限,"004专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,005,鞍山师范学院,化学,"005专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1009,006,鞍山师范学院,思想政治,"006专业组（思想政治）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,001,白城师范学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,002,白城师范学院,不限,"002专业组（不限）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,003,白城师范学院,化学,"003专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,004,白城师范学院,化学,"004专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1013,005,白城师范学院,地理,"005专业组（地理）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1020,001,宝鸡文理学院,化学,"001专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1023,001,保定学院,化学,"001专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,002,北部湾大学,化学,"002专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,003,北部湾大学,化学,"003专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,004,北部湾大学,化学,"004专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,005,北部湾大学,化学,"005专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,006,北部湾大学,化学,"006专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,007,北部湾大学,化学,"007专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,008,北部湾大学,化学,"008专业组（化学）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1025,001,北方工业大学,化学,"001专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1025,002,北方工业大学,化学,"002专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1025,003,北方工业大学,化学,"003专业组（化学）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,003,北方民族大学,不限,"003专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,004,北方民族大学,化学,"004专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,005,北方民族大学,化学,"005专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,006,北方民族大学,化学,"006专业组（化学）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1028,001,北海艺术设计学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2025_01.jpg, top 1000px",src_ah_2025_admission_physics
